Date,City,Temp_Max,Temp_Min,Temp_Avg,Humidity,Rainfall_mm,Wind_Speed_kmh,Weather_Condition,Season
2018-01-11,Mumbai,30.8,20.1,24.0,65.7,0.0,12.2,Sunny,Winter
2018-01-11,Bangalore,18.3,10.3,14.6,60.5,0.8,16.6,Cold,Winter
2018-01-11,Chennai,24.7,16.8,20.4,57.5,0.0,7.5,Clear,Winter
2018-01-11,Kolkata,27.6,18.1,21.7,79.8,0.0,6.9,Sunny,Winter
2018-01-12,Hyderabad,24.4,16.6,20.2,61.7,0.0,11.4,Sunny,Winter
2018-01-12,Delhi,14.1,3.9,9.4,58.5,0.0,8.5,Cold,Winter
2018-01-12,Mumbai,29.1,19.5,24.0,79.7,0.0,14.9,Sunny,Winter
2018-01-12,Bangalore,18.3,10.6,14.0,61.3,0.0,14.5,Cold,Winter
2018-01-12,Chennai,21.7,13.3,18.6,66.2,0.0,17.6,Sunny,Winter
2018-01-12,Kolkata,21.4,12.1,16.6,68.9,0.0,10.4,Partly Cloudy,Winter
2018-01-13,Hyderabad,26.0,14.8,20.0,56.1,0.0,8.0,Clear,Winter
2018-01-13,Delhi,18.1,9.8,13.1,35.0,0.0,16.9,Cold,Winter
2018-01-13,Mumbai,30.0,19.4,24.0,82.7,0.0,14.7,Cloudy,Winter
2018-01-13,Bangalore,18.7,9.0,14.5,54.3,0.0,8.3,Cold,Winter
2018-01-13,Chennai,22.4,14.1,19.2,73.6,0.0,13.5,Sunny,Winter
2018-01-13,Kolkata,21.7,11.3,16.6,77.2,4.5,11.9,Cold,Winter
2018-01-14,Hyderabad,24.3,15.2,19.7,59.1,0.0,10.2,Sunny,Winter
2018-01-14,Delhi,14.7,1.9,7.7,54.3,0.0,11.0,Cold,Winter
2018-01-14,Mumbai,28.8,19.0,24.0,71.1,3.5,5.3,Partly Cloudy,Winter
2018-01-14,Bangalore,22.8,13.5,16.7,74.4,0.0,6.8,Clear,Winter
2018-01-14,Chennai,30.3,18.5,23.6,71.7,0.0,16.3,Clear,Winter
2018-01-14,Kolkata,28.6,17.0,21.7,76.8,0.4,11.2,Sunny,Winter
2018-01-15,Hyderabad,28.7,17.2,22.0,41.1,0.0,10.1,Clear,Winter
2018-01-15,Delhi,14.4,7.3,10.3,39.7,0.0,13.0,Cold,Winter
2018-01-15,Mumbai,30.4,20.4,24.0,76.1,0.0,10.7,Sunny,Winter
2018-01-15,Bangalore,18.0,9.8,13.5,63.3,0.0,10.9,Cold,Winter
2018-01-15,Chennai,23.5,14.8,18.3,59.8,0.0,17.5,Partly Cloudy,Winter
2018-01-15,Kolkata,25.1,16.2,20.0,62.0,0.0,10.7,Clear,Winter
2018-01-16,Hyderabad,25.9,17.2,21.7,63.2,0.0,10.3,Sunny,Winter
2018-01-16,Delhi,16.8,8.0,12.9,34.4,0.0,12.9,Cold,Winter
2018-01-16,Mumbai,30.4,20.1,24.0,65.8,0.0,9.9,Partly Cloudy,Winter
2018-01-16,Bangalore,19.8,11.0,14.5,54.0,0.0,10.0,Cold,Winter
2018-01-16,Chennai,27.5,20.4,23.6,64.9,0.0,8.6,Clear,Winter
2018-01-16,Kolkata,22.7,15.0,19.3,65.0,1.0,17.4,Sunny,Winter
2018-01-17,Hyderabad,22.8,11.7,16.3,50.1,0.0,11.5,Cold,Winter
2018-01-17,Delhi,17.6,8.1,14.0,56.6,0.0,17.3,Cold,Winter
2018-01-17,Mumbai,30.3,18.0,24.0,70.2,0.3,12.7,Sunny,Winter
2018-01-17,Bangalore,17.4,7.6,12.7,45.1,0.0,15.5,Cold,Winter
2018-01-17,Chennai,28.5,17.6,23.2,75.2,1.3,9.6,Clear,Winter
2018-01-17,Kolkata,21.2,12.6,16.5,62.8,0.0,9.4,Clear,Winter
2018-01-18,Hyderabad,22.3,13.9,19.1,41.1,0.0,8.0,Partly Cloudy,Winter
2018-01-18,Delhi,11.6,4.1,8.3,38.3,0.0,16.7,Cold,Winter
2018-01-18,Mumbai,30.1,19.6,24.0,73.0,0.0,5.1,Clear,Winter
2018-01-18,Bangalore,16.7,7.7,12.4,72.3,0.0,11.1,Cold,Winter
2018-01-18,Chennai,23.8,16.0,20.3,55.1,0.0,17.6,Clear,Winter
2018-01-18,Kolkata,25.5,14.9,19.7,86.5,0.0,9.0,Cloudy,Winter
2018-01-19,Hyderabad,23.5,13.8,19.1,51.0,0.0,17.3,Clear,Winter
2018-01-19,Delhi,12.4,5.8,9.3,37.8,0.0,5.5,Cold,Winter
2018-01-19,Mumbai,28.3,20.9,24.0,72.1,0.0,13.5,Clear,Winter
2018-01-19,Bangalore,19.7,9.0,15.0,73.7,0.0,13.5,Cold,Winter
2018-01-19,Chennai,23.9,13.2,18.3,63.5,0.0,16.8,Clear,Winter
2018-01-19,Kolkata,26.8,16.3,20.8,58.9,0.0,13.4,Sunny,Winter
2018-01-20,Hyderabad,20.4,12.2,16.5,68.5,0.0,12.6,Clear,Winter
2018-01-20,Delhi,12.5,2.0,6.5,46.1,0.0,11.6,Cold,Winter
2018-01-20,Mumbai,28.4,18.9,24.0,72.8,0.0,6.3,Clear,Winter
2018-01-20,Bangalore,18.6,9.5,13.1,65.9,0.0,15.7,Cold,Winter
2018-01-20,Chennai,24.3,14.8,18.1,71.3,0.6,16.5,Partly Cloudy,Winter
2018-01-20,Kolkata,27.3,15.1,20.6,80.0,0.0,11.7,Cloudy,Winter
2018-01-21,Hyderabad,25.5,14.2,18.7,66.1,0.0,15.3,Clear,Winter
2018-01-21,Delhi,16.3,6.4,11.3,59.6,0.0,7.5,Cold,Winter
2018-01-21,Mumbai,30.7,18.6,24.0,70.7,0.0,17.5,Sunny,Winter
2018-01-21,Bangalore,15.7,7.3,12.5,58.1,0.0,7.2,Cold,Winter
2018-01-21,Chennai,25.9,13.3,18.9,57.6,0.0,15.8,Partly Cloudy,Winter
2018-01-21,Kolkata,23.4,15.0,19.5,78.9,0.0,7.0,Sunny,Winter
2018-01-22,Hyderabad,26.1,18.0,21.4,46.9,0.0,16.0,Clear,Winter
2018-01-22,Delhi,16.0,6.5,10.8,31.2,0.0,13.1,Cold,Winter
2018-01-22,Mumbai,28.6,18.3,24.0,80.4,1.3,8.8,Cloudy,Winter
2018-01-22,Bangalore,23.2,11.0,16.9,66.2,0.0,11.1,Cold,Winter
2018-01-22,Chennai,26.2,16.4,20.8,65.9,0.1,11.4,Clear,Winter
2018-01-22,Kolkata,24.3,16.5,19.7,61.1,0.0,7.1,Sunny,Winter
2018-01-23,Hyderabad,20.4,12.0,17.4,40.3,0.0,9.1,Sunny,Winter
2018-01-23,Delhi,18.8,7.7,12.7,52.2,0.0,11.2,Cold,Winter
2018-01-23,Mumbai,28.1,19.1,24.0,88.7,0.0,7.0,Cloudy,Winter
2018-01-23,Bangalore,22.2,10.6,16.3,52.1,0.0,14.0,Cold,Winter
2018-01-23,Chennai,23.2,15.6,20.0,75.5,0.0,11.3,Partly Cloudy,Winter
2018-01-23,Kolkata,26.6,17.2,21.1,79.6,0.0,17.4,Clear,Winter
2018-01-24,Hyderabad,21.5,12.0,16.3,46.6,1.0,10.5,Cold,Winter
2018-01-24,Delhi,16.3,4.3,9.9,49.1,0.8,13.3,Cold,Winter
2018-01-24,Mumbai,28.0,18.1,24.0,72.0,0.0,16.0,Partly Cloudy,Winter
2018-01-24,Bangalore,21.9,12.2,16.6,57.4,0.0,5.5,Partly Cloudy,Winter
2018-01-24,Chennai,26.9,16.7,20.7,64.4,4.4,11.0,Partly Cloudy,Winter
2018-01-24,Kolkata,26.1,18.0,21.6,79.2,0.0,10.9,Partly Cloudy,Winter
2018-01-25,Hyderabad,23.0,15.1,19.4,59.5,0.0,8.5,Clear,Winter
2018-01-25,Delhi,20.9,11.0,14.2,37.2,2.4,10.7,Cold,Winter
2018-01-25,Mumbai,28.1,18.6,24.0,62.9,0.0,11.9,Clear,Winter
2018-01-25,Bangalore,18.0,7.1,12.1,49.8,0.0,7.7,Cold,Winter
2018-01-25,Chennai,25.3,16.6,21.6,60.2,0.0,11.7,Sunny,Winter
2018-01-25,Kolkata,25.1,15.4,20.5,65.5,0.0,11.9,Partly Cloudy,Winter
2018-01-26,Hyderabad,22.0,14.4,18.4,40.5,0.0,7.7,Sunny,Winter
2018-01-26,Delhi,16.5,7.9,11.5,51.3,0.0,8.7,Cold,Winter
2018-01-26,Mumbai,29.0,20.2,24.0,88.8,0.0,13.1,Cloudy,Winter
2018-01-26,Bangalore,20.6,12.7,15.9,67.2,0.0,14.9,Sunny,Winter
2018-01-26,Chennai,27.9,19.9,23.4,66.8,0.0,17.5,Sunny,Winter
2018-01-26,Kolkata,27.1,16.0,21.8,58.5,0.0,14.0,Clear,Winter
2018-01-27,Hyderabad,21.5,13.1,18.0,40.0,0.0,16.3,Partly Cloudy,Winter
2018-01-27,Delhi,14.8,4.4,7.9,36.0,0.0,8.6,Cold,Winter
2018-01-27,Mumbai,29.9,19.5,24.0,64.1,0.0,17.4,Partly Cloudy,Winter
2018-01-27,Bangalore,19.7,11.0,14.3,55.3,0.0,10.2,Cold,Winter
2018-01-27,Chennai,26.7,18.9,23.1,67.2,1.2,17.3,Clear,Winter
2018-01-27,Kolkata,22.3,14.7,18.9,57.6,0.0,5.3,Clear,Winter
2018-01-28,Hyderabad,26.4,16.9,21.6,51.8,0.0,11.8,Clear,Winter
2018-01-28,Delhi,17.1,8.4,11.6,36.4,0.0,14.3,Cold,Winter
2018-01-28,Mumbai,28.8,20.6,24.0,76.6,0.0,13.2,Sunny,Winter
2018-01-28,Bangalore,16.7,7.4,13.3,54.0,0.0,10.1,Cold,Winter
2018-01-28,Chennai,27.2,19.0,23.2,72.3,0.0,7.2,Partly Cloudy,Winter
2018-01-28,Kolkata,21.2,12.5,17.4,64.9,0.0,11.6,Sunny,Winter
2018-01-29,Hyderabad,26.7,17.9,21.8,68.2,0.0,9.0,Partly Cloudy,Winter
2018-01-29,Delhi,16.9,10.4,13.6,58.2,0.0,16.9,Cold,Winter
2018-01-29,Mumbai,28.3,20.5,24.0,61.9,1.4,14.3,Partly Cloudy,Winter
2018-01-29,Bangalore,22.0,13.0,17.1,71.7,0.0,8.2,Partly Cloudy,Winter
2018-01-29,Chennai,27.8,19.9,23.5,74.4,0.0,8.9,Partly Cloudy,Winter
2018-01-29,Kolkata,26.8,17.3,21.1,60.3,0.0,17.5,Sunny,Winter
2018-01-30,Hyderabad,20.4,11.7,16.2,44.3,0.0,11.6,Cold,Winter
2018-01-30,Delhi,17.3,5.5,10.7,33.6,0.0,10.8,Cold,Winter
2018-01-30,Mumbai,28.7,18.9,24.0,83.9,0.0,10.9,Cloudy,Winter
2018-01-30,Bangalore,22.5,12.7,16.8,73.5,2.5,5.8,Sunny,Winter
2018-01-30,Chennai,24.0,16.5,20.6,81.2,0.0,13.3,Cloudy,Winter
2018-01-30,Kolkata,26.2,15.9,20.1,81.9,5.1,9.4,Rainy,Winter
2018-01-31,Hyderabad,21.3,12.1,16.8,43.9,0.3,9.1,Clear,Winter
2018-01-31,Delhi,13.8,4.9,10.4,45.2,0.0,5.7,Cold,Winter
2018-01-31,Mumbai,29.5,20.8,24.0,78.9,0.0,13.0,Partly Cloudy,Winter
2018-01-31,Bangalore,23.1,14.3,17.7,57.9,0.0,10.8,Partly Cloudy,Winter
2018-01-31,Chennai,26.5,14.4,20.2,57.5,0.0,13.4,Sunny,Winter
2018-01-31,Kolkata,23.9,11.6,17.1,67.3,0.0,11.9,Cold,Winter
2018-02-01,Hyderabad,24.3,14.8,17.8,45.0,0.0,9.1,Sunny,Winter
2018-02-01,Delhi,18.0,8.7,12.2,56.6,0.0,5.1,Cold,Winter
2018-02-01,Mumbai,28.0,20.3,24.0,69.3,0.0,17.7,Sunny,Winter
2018-02-01,Bangalore,21.4,13.8,17.0,48.9,0.0,6.6,Sunny,Winter
2018-02-01,Chennai,26.8,18.1,21.6,61.3,0.0,8.8,Partly Cloudy,Winter
2018-02-01,Kolkata,26.1,17.4,21.3,63.8,0.0,6.0,Sunny,Winter
2018-02-02,Hyderabad,23.0,11.7,17.7,55.6,3.0,14.1,Cold,Winter
2018-02-02,Delhi,13.5,3.7,6.8,54.8,0.6,12.6,Cold,Winter
2018-02-02,Mumbai,28.3,19.7,24.0,62.3,0.0,17.5,Partly Cloudy,Winter
2018-02-02,Bangalore,19.3,11.7,15.8,51.1,0.0,9.1,Cold,Winter
2018-02-02,Chennai,30.0,19.6,23.5,68.9,0.0,6.8,Clear,Winter
2018-02-02,Kolkata,23.0,15.0,18.5,60.2,0.0,9.8,Partly Cloudy,Winter
2018-02-03,Hyderabad,23.6,13.6,17.8,49.1,0.0,11.9,Sunny,Winter
2018-02-03,Delhi,11.3,2.2,8.1,58.4,0.0,15.6,Cold,Winter
2018-02-03,Mumbai,27.1,19.1,24.0,81.9,0.0,16.8,Cloudy,Winter
2018-02-03,Bangalore,21.7,11.6,15.0,56.6,0.0,13.5,Cold,Winter
2018-02-03,Chennai,23.2,14.6,20.2,72.2,0.0,7.7,Partly Cloudy,Winter
2018-02-03,Kolkata,23.4,14.0,17.3,68.2,0.0,5.8,Partly Cloudy,Winter
2018-02-04,Hyderabad,25.7,16.3,19.5,47.1,0.0,17.7,Partly Cloudy,Winter
2018-02-04,Delhi,19.2,9.1,13.6,50.3,0.6,11.2,Cold,Winter
2018-02-04,Mumbai,28.4,19.4,24.0,72.8,0.0,9.5,Clear,Winter
2018-02-04,Bangalore,21.0,12.9,16.0,54.3,0.0,5.4,Partly Cloudy,Winter
2018-02-04,Chennai,27.1,17.6,21.1,69.7,0.0,9.1,Partly Cloudy,Winter
2018-02-04,Kolkata,21.2,11.9,17.4,84.0,0.9,14.1,Cloudy,Winter
2018-02-05,Hyderabad,22.7,14.8,18.2,48.8,1.8,16.0,Clear,Winter
2018-02-05,Delhi,15.9,8.3,11.5,38.5,0.0,5.6,Cold,Winter
2018-02-05,Mumbai,31.0,19.2,24.0,69.8,0.0,6.7,Clear,Winter
2018-02-05,Bangalore,21.0,9.2,14.7,46.2,0.0,8.7,Cold,Winter
2018-02-05,Chennai,27.1,19.3,23.9,56.8,0.0,8.0,Clear,Winter
2018-02-05,Kolkata,22.8,13.1,16.6,70.4,0.0,12.1,Partly Cloudy,Winter
2018-02-06,Hyderabad,20.8,10.5,16.4,43.9,0.0,10.4,Cold,Winter
2018-02-06,Delhi,16.5,4.3,9.8,38.8,0.0,5.2,Cold,Winter
2018-02-06,Mumbai,30.4,18.7,24.0,73.8,0.0,5.4,Clear,Winter
2018-02-06,Bangalore,18.6,9.8,13.5,61.7,0.0,13.2,Cold,Winter
2018-02-06,Chennai,28.2,17.5,22.6,72.3,0.0,11.6,Clear,Winter
2018-02-06,Kolkata,26.3,16.3,19.3,57.2,0.0,6.7,Clear,Winter
2018-02-07,Hyderabad,26.0,16.3,21.8,62.3,0.0,14.0,Sunny,Winter
2018-02-07,Delhi,14.3,6.4,11.1,54.7,3.4,14.6,Cold,Winter
2018-02-07,Mumbai,30.5,19.0,24.0,77.7,3.2,11.1,Sunny,Winter
2018-02-07,Bangalore,21.5,9.6,15.0,74.4,0.0,12.1,Cold,Winter
2018-02-07,Chennai,28.5,19.6,23.6,82.9,1.9,11.5,Cloudy,Winter
2018-02-07,Kolkata,23.4,12.0,16.9,58.7,0.0,14.1,Partly Cloudy,Winter
2018-02-08,Hyderabad,21.7,13.8,17.2,59.0,0.0,17.0,Partly Cloudy,Winter
2018-02-08,Delhi,13.0,5.7,9.2,50.3,0.0,5.2,Cold,Winter
2018-02-08,Mumbai,28.3,19.9,24.0,66.7,0.0,11.7,Sunny,Winter
2018-02-08,Bangalore,23.2,14.1,18.0,54.1,1.0,11.8,Clear,Winter
2018-02-08,Chennai,30.2,20.8,23.8,58.1,0.3,12.0,Sunny,Winter
2018-02-08,Kolkata,26.5,16.0,21.1,58.8,0.1,14.4,Partly Cloudy,Winter
2018-02-09,Hyderabad,22.3,12.8,18.0,61.8,5.0,16.2,Partly Cloudy,Winter
2018-02-09,Delhi,18.7,11.3,14.5,53.1,0.0,9.1,Cold,Winter
2018-02-09,Mumbai,29.7,18.1,24.0,73.3,0.0,8.4,Partly Cloudy,Winter
2018-02-09,Bangalore,20.2,9.1,14.4,73.7,0.0,12.5,Cold,Winter
2018-02-09,Chennai,26.7,17.6,22.0,62.5,0.0,17.6,Partly Cloudy,Winter
2018-02-09,Kolkata,25.6,16.4,20.8,81.9,0.0,14.4,Cloudy,Winter
2018-02-10,Hyderabad,26.1,16.2,20.9,64.0,0.0,14.0,Partly Cloudy,Winter
2018-02-10,Delhi,11.9,0.9,6.7,49.1,0.0,11.5,Cold,Winter
2018-02-10,Mumbai,30.5,20.3,24.0,84.7,0.0,6.1,Cloudy,Winter
2018-02-10,Bangalore,18.0,7.7,13.0,72.8,0.0,6.6,Cold,Winter
2018-02-10,Chennai,26.0,15.0,20.8,72.3,0.0,11.3,Partly Cloudy,Winter
2018-02-10,Kolkata,24.8,16.8,21.6,78.0,0.0,12.4,Partly Cloudy,Winter
2018-02-11,Hyderabad,24.3,12.8,17.8,59.8,0.0,8.1,Clear,Winter
2018-02-11,Delhi,14.0,4.0,8.5,31.5,0.0,6.8,Cold,Winter
2018-02-11,Mumbai,30.8,19.0,24.0,67.8,0.0,5.8,Clear,Winter
2018-02-11,Bangalore,20.9,12.7,17.0,70.9,0.0,17.3,Sunny,Winter
2018-02-11,Chennai,25.3,18.1,21.7,78.3,0.0,8.7,Partly Cloudy,Winter
2018-02-11,Kolkata,26.5,16.7,20.0,58.1,0.0,17.3,Sunny,Winter
2018-02-12,Hyderabad,20.7,13.0,16.9,50.8,0.3,13.5,Sunny,Winter
2018-02-12,Delhi,13.5,6.0,10.0,37.4,2.0,8.3,Cold,Winter
2018-02-12,Mumbai,29.0,20.0,24.0,60.3,0.0,16.4,Partly Cloudy,Winter
2018-02-12,Bangalore,21.1,13.1,17.9,69.8,0.0,11.1,Partly Cloudy,Winter
2018-02-12,Chennai,27.4,17.2,20.8,79.7,0.9,5.1,Sunny,Winter
2018-02-12,Kolkata,23.2,15.4,20.1,83.6,0.0,11.5,Cloudy,Winter
2018-02-13,Hyderabad,24.4,13.9,17.9,60.4,0.0,6.9,Sunny,Winter
2018-02-13,Delhi,15.8,4.0,9.2,45.6,1.2,16.3,Cold,Winter
2018-02-13,Mumbai,28.1,18.9,24.0,77.4,0.0,5.3,Clear,Winter
2018-02-13,Bangalore,22.7,14.1,17.7,73.3,0.0,6.3,Sunny,Winter
2018-02-13,Chennai,28.5,17.6,22.7,62.9,0.0,8.8,Sunny,Winter
2018-02-13,Kolkata,25.2,15.4,20.7,74.5,0.0,10.6,Partly Cloudy,Winter
2018-02-14,Hyderabad,23.6,15.2,20.5,46.0,0.0,13.4,Clear,Winter
2018-02-14,Delhi,15.4,6.3,12.1,39.0,0.0,8.8,Cold,Winter
2018-02-14,Mumbai,30.4,19.8,24.0,86.8,0.0,15.7,Cloudy,Winter
2018-02-14,Bangalore,21.5,12.8,17.9,54.2,0.0,15.2,Partly Cloudy,Winter
2018-02-14,Chennai,29.1,17.7,22.2,75.5,0.0,14.5,Clear,Winter
2018-02-14,Kolkata,19.9,10.7,16.4,71.5,0.0,14.9,Cold,Winter
2018-02-15,Hyderabad,21.3,13.7,18.1,69.5,0.0,13.8,Sunny,Winter
2018-02-15,Delhi,18.5,8.1,13.0,48.0,0.0,9.8,Cold,Winter
2018-02-15,Mumbai,30.8,19.2,24.0,60.4,0.0,9.2,Clear,Winter
2018-02-15,Bangalore,16.0,8.8,12.4,54.0,0.0,11.7,Cold,Winter
2018-02-15,Chennai,25.5,16.5,19.9,58.5,0.0,5.6,Sunny,Winter
2018-02-15,Kolkata,27.0,15.8,21.7,60.1,0.0,14.9,Sunny,Winter
2018-02-16,Hyderabad,27.9,17.0,21.2,49.7,0.0,11.5,Partly Cloudy,Winter
2018-02-16,Delhi,13.3,5.1,10.0,41.2,0.0,14.9,Cold,Winter
2018-02-16,Mumbai,29.3,18.1,24.0,80.8,0.0,14.8,Cloudy,Winter
2018-02-16,Bangalore,22.7,12.9,17.1,48.0,0.0,8.3,Clear,Winter
2018-02-16,Chennai,27.5,16.3,21.1,62.8,1.6,16.2,Sunny,Winter
2018-02-16,Kolkata,23.6,16.4,19.6,81.7,0.0,7.5,Cloudy,Winter
2018-02-17,Hyderabad,22.0,13.7,17.8,62.9,0.0,17.4,Sunny,Winter
2018-02-17,Delhi,13.2,2.9,7.1,39.0,0.0,10.5,Cold,Winter
2018-02-17,Mumbai,29.7,20.7,24.0,81.7,0.0,11.1,Cloudy,Winter
2018-02-17,Bangalore,17.1,9.5,13.8,70.2,0.0,13.7,Cold,Winter
2018-02-17,Chennai,22.4,15.4,19.3,67.8,0.0,13.4,Clear,Winter
2018-02-17,Kolkata,25.9,17.6,21.5,85.3,1.4,9.6,Cloudy,Winter
2018-02-18,Hyderabad,22.2,15.7,18.7,58.5,0.0,6.5,Clear,Winter
2018-02-18,Delhi,16.3,4.9,9.8,47.5,0.0,8.2,Cold,Winter
2018-02-18,Mumbai,29.2,19.3,24.0,76.4,0.0,12.8,Partly Cloudy,Winter
2018-02-18,Bangalore,20.6,12.6,17.2,51.0,0.0,11.0,Partly Cloudy,Winter
2018-02-18,Chennai,26.6,16.6,22.6,84.9,0.9,6.0,Cloudy,Winter
2018-02-18,Kolkata,22.5,12.7,17.6,58.9,0.0,15.3,Partly Cloudy,Winter
2018-02-19,Hyderabad,24.4,15.4,18.8,44.2,0.0,10.5,Sunny,Winter
2018-02-19,Delhi,15.4,6.3,11.8,44.9,0.0,11.2,Cold,Winter
2018-02-19,Mumbai,27.3,20.1,24.0,80.9,0.6,12.9,Cloudy,Winter
2018-02-19,Bangalore,18.8,10.7,15.3,70.3,0.0,12.5,Cold,Winter
2018-02-19,Chennai,25.0,17.9,21.8,72.7,0.0,13.7,Partly Cloudy,Winter
